,X,Y,Z
229,-27.71328811567107,-12.340251203654393,-30.191287615386454
230,-35.96608936176302,-34.77986030398769,-32.99064911684192
231,-33.9673235487033,-35.055184411579006,-35.719957424411575
232,-34.354702017043195,-35.416906403045814,-36.0612358523492
233,-47.18152936414377,-46.077607060885256,-43.93096999285777
234,-37.03055987729859,-35.19458158142627,-32.35060733021884
235,-49.84545079682272,-49.83929644804509,-49.819125158099446
236,-36.89787433108248,-35.69531170903464,-33.87833917543467
237,-40.47513967412687,-41.336955707823854,-41.83017166465422
238,-48.47364837787815,-48.01435894722971,-47.13842092846263
239,-29.518161485763244,-32.13579643450784,-33.85987153619658
240,-34.53993829200085,-32.940922065340494,-30.52578094739093
241,-49.94216677191175,-49.87881569331353,-49.549339110076446
242,-24.217257098730265,-31.12186045020129,-34.642808930759934
243,-37.13232487825839,-37.72358953270856,-37.97336488915997
244,-37.237146472885314,-36.03119334131009,-34.2074881158177
245,-40.35497667158992,-41.10042080013329,-41.49796997107074
246,-34.90181446677938,-33.79066566420685,-32.111724718760954
247,-45.07181411318584,-45.952232191415455,-46.467697294799315
248,-40.52712081395396,-40.92773547498139,-41.022399974325
249,-44.853910295085996,-43.253162190171096,-40.42948293575894
250,-43.11733416408279,-45.51571305167461,-46.7658439378677
251,-35.96964649207901,-34.93363237444575,-33.35727023301226
252,-34.72691173026455,-33.139181437943876,-30.741206187295052
253,-35.207560948359806,-38.08460221403078,-39.900955329691634
254,-38.269561763854135,-37.69165343836772,-36.71414793542488
255,-34.895362215503084,-35.58103214027004,-35.90887787251265
256,-29.515985020307763,-32.079367961187,-33.7713228233916
257,-47.93090452640914,-47.98777434381185,-47.918104823828436
258,-35.88509495794299,-35.16625708942835,-34.01046266159818
259,-37.52389766517367,-37.77758051737179,-37.71284424679794
260,-38.7505177851756,-38.18386167909682,-37.221113330297364
261,-48.01844244667616,-47.96219152583391,-47.76766247909145
262,-36.60247821087883,-35.403848443493494,-33.59401748062343
263,-43.58563383466257,-42.508394161068935,-40.79405303604329
264,-35.53068367715409,-34.47460942801531,-32.87135662086443
265,-48.04868285040915,-47.9930483085731,-47.8007169122812
266,-30.429110430774884,-25.76425254821064,-13.538972778430292
267,-35.185002116965286,-32.91243784111214,-29.266465606260628
268,-33.09558195556855,-30.35202546111281,-25.703377664178568
269,-40.318712490563556,-39.126266985292155,-37.2965059869357
270,-49.78212824640926,-49.65302891949087,-49.30093160399331
271,-37.288164120463776,-37.54670928861899,-37.48570522577238
272,-34.42910660958894,-32.82279377504831,-30.396455449726957
273,-37.44754072897812,-35.28105450072917,-31.801201981789635
274,-26.015183345867037,-13.345823861432802,-20.750283408996722
275,-42.80494435413739,-42.42070289177423,-41.700975114817844
276,-42.391162171072516,-41.256149082722644,-39.480373035270794
277,-45.070828920123674,-44.93355840356719,-44.54445286851919
278,-36.71629152622127,-36.43666140151671,-35.80765019411711
279,-14.387943818294527,-18.07688199963389,-26.411428958424416
280,-42.30336283255707,-42.77006614660635,-42.942832455744124
281,-34.95347760911834,-33.37815777919297,-30.998838740630536
282,-32.3407093875702,-34.09092022044548,-35.25165980736628
283,-39.12124194678754,-37.91441890716178,-36.075937897141884
284,-47.48052620858557,-47.6934258012855,-47.754798402122404
285,-35.39476571716915,-34.331300967351595,-32.718054587125366
286,-34.89680910449327,-33.77248282870169,-32.074964763674146
287,-36.69550680262097,-33.82217404911648,-28.75103718002894
288,-34.08879820580667,-35.2494174979382,-35.972071252557434
289,-35.21808642663382,-34.14346839153306,-32.51504923161191
290,-37.336348163046594,-35.4986593712244,-32.646502595289064
291,-35.23821750493126,-34.16499184690841,-32.53847294700368
292,-34.67587968637373,-35.7226227359049,-36.35466891342452
293,-36.45714311461801,-39.31766053707924,-41.099378334124054
294,-34.94541759424314,-33.809652850230265,-32.095825252058376
295,-45.83197946238872,-46.128383124934444,-46.211897418136694
296,-12.24452159383693,-31.54950052350545,-36.763069868656395
297,-41.533507956007625,-40.2320786926784,-38.20747307729401
298,-25.21128378463829,-14.485610775024785,-17.89813226575219
299,-40.37975291569856,-39.188371811282245,-37.35945006262553
300,-30.43263088978111,-25.767049681460094,-13.536493404166173
301,-35.59600449638731,-33.34361985429641,-29.731454996959727
302,-32.10385551933105,-29.55822506818775,-25.376059726081706
303,-37.76900914342293,-37.834616556050335,-37.582090800282316
304,-30.911366201336868,-27.05943950459368,-19.07038061232365
305,-34.30100818114886,-32.5356974103438,-29.845237102668364
306,-42.34389753173392,-41.86477310031884,-41.023276811626005
307,-44.33936782659478,-44.9599837459892,-45.28799104308452
308,-43.63270696494204,-42.87337223869046,-41.651581250816434
309,-40.585238615035834,-39.23719193975493,-37.15757433107801
310,-47.107931944130826,-47.72533329510972,-48.068656995904114
311,-35.70584302586694,-34.997667280852404,-33.85532166227823
312,-35.05945341334673,-33.97200430334698,-32.325989613507176
313,-34.61327081528732,-36.443345642722576,-37.65199293334105
314,-35.07958293404932,-36.91467405308443,-38.12461298537342
315,-35.9338697521327,-35.283136965967536,-34.212889205427274
316,-36.31045780401328,-31.109793248563378,-12.271124088150529
317,-37.162639156452215,-35.67966436989701,-33.43129788110349
318,-35.934831457809096,-35.94358845282961,-35.62521928130993
319,-32.182857785869714,-35.02162483092043,-36.856217694086254
320,-29.601017906850373,-25.191198040351853,-14.607707372484048
321,-40.72397558786104,-39.53924260091072,-37.71582139650698
322,-46.24395260776054,-46.55104166866272,-46.655363143509646
323,-36.22652320141173,-36.198971696474345,-35.84341246627509
324,-35.45724914656272,-37.61594085671955,-39.0292517746069
325,-32.93445569211429,-29.2902670245534,-22.023097513578538
326,-36.50503548254279,-34.997290759059595,-32.71521261572554
327,-40.308399026275474,-39.55381683333803,-38.35080411583433
328,-35.58721757410255,-35.91234376730182,-35.90998549048259
329,-36.354109427615256,-35.3329627918874,-33.77631547070176
330,-36.20020563672093,-35.844591190572544,-35.12775384601367
331,-36.60415665803404,-34.39895417144904,-30.86180029530159
332,-35.31098110747642,-40.49083490806882,-43.13372014214343
333,-38.37364329907802,-12.074222572161997,-37.59113262003928
334,-42.73265785078379,-45.09598833970767,-46.372639945188496
335,-39.19643204697747,-39.42119657293738,-39.33717285420962
336,-35.58328047718641,-35.90984750409799,-35.908864160132
337,-44.29048280150718,-47.713487924833714,-48.77334713238462
338,-36.865246209042525,-35.663070796902986,-33.846825166012714
339,-15.173895935475931,-25.190372713179144,-29.49666622142168
340,-41.852674268271144,-41.12014113367775,-39.9444760398548
341,-47.12564181121558,-46.40411919320283,-45.133444668913754
342,-46.59314093416357,-47.59199161956988,-48.12852700583217
343,-30.233403320544134,-25.611251999867907,-13.690336356192468
344,-36.292095881870566,-34.07250825055399,-30.513092206484874
345,-35.223864383484496,-12.098637169613813,-36.279324741484174
346,-44.598033445516194,-43.05944527737607,-40.408944192732015
347,-41.447926782953004,-40.94475376718495,-40.06876059919888
348,-48.541042373492864,-48.592224699517324,-48.5487621355841
349,-33.784843069369934,-32.07909414013741,-29.492630435504847
350,-35.585762955739774,-32.73148209933672,-27.751938129841918
351,-35.41837584058892,-33.60815708328238,-30.83048754233944
352,-38.18014988212145,-36.047980548102736,-32.61590685165637
353,-43.954175058855334,-42.89947182716624,-41.21013444651915
354,-33.67766484703555,-31.319448849004566,-27.519578047314926
355,-40.52006990315728,-39.994151415424604,-39.08635217765767
356,-38.50476165535553,-38.26482174846614,-37.686800651488156
357,-47.033438317091125,-46.262740374876586,-44.90330142470377
358,-44.06612147966175,-42.47193564668702,-39.76715056109423
359,-34.698737802435524,-35.74448112489087,-36.3757345368885
360,-38.893081888673926,-37.474505886985845,-35.309265025974696
361,-45.31878550814446,-45.88054752141147,-46.17496217726722
362,-47.78119308565188,-47.97482464999285,-48.03082394011605
363,-34.54942784158182,-31.022312440958682,-24.100926711964846
364,-38.33745661469941,-37.12752490391161,-35.29090590629749
365,-45.20250170422137,-44.18085079893585,-42.49061506606595
366,-25.195279568572268,-29.610938915609196,-32.259780945133286
367,-46.35850948760861,-45.48219193180121,-43.97879692410327
368,-34.9130020528616,-29.77261875108407,-12.3794536661536
369,-36.02191295210717,-36.643777263735586,-36.917578253685775
370,-36.95003455896472,-34.76069090702832,-31.247464030926277
371,-35.884978959982675,-35.16614659034185,-34.01035911040513
372,-37.385140331094476,-37.12299627849675,-36.51571751171927
373,-13.163926348402216,-26.325916294416526,-31.110524311172988
374,-44.27282362527647,-45.66958942550322,-46.48441801851555
375,-37.22875465496385,-33.869580073902114,-27.34779493706494
376,-35.998404352922584,-35.98398387955859,-35.64154139382911
377,-42.165589817956246,-41.77368325618364,-41.03958582536887
378,-36.09067247488685,-34.56662071800671,-32.261776414795136
379,-29.50878265134493,-32.07656220760998,-33.77115888365344
380,-38.69022962085896,-37.481097986120226,-35.642913267297445
381,-46.12540586565244,-45.828875974242045,-45.263390669686466
382,-12.374748046084905,-27.199998725590177,-33.73754922572269
383,-41.006255627549706,-41.10127901720652,-40.90151464182384
384,-48.82693287173542,-48.44526259401057,-47.691972148181065
385,-36.27755017353672,-35.981943033244704,-35.33373589378371
386,-39.92001041738617,-39.51766376525079,-38.7581054801115
387,-29.515303782672614,-32.07907106801842,-33.77125713645799
388,-33.89951966160414,-34.99397668676438,-35.66401097741696
389,-34.93064898327249,-35.96678122865135,-36.59042451976586
390,-30.98244798510155,-33.7691357036204,-35.583522975546586
391,-49.8621458384261,-49.877570709564495,-49.88226473430827
392,-49.94283189070483,-49.953610146295766,-49.95879102503565
393,-16.682153915995013,-25.654436909757372,-29.745250939590242
394,-35.92859564644203,-34.743311080397724,-32.95560399576475
395,-40.72042760337326,-38.92576478882389,-36.057816109669865
396,-38.730498903904355,-37.305700409809376,-35.132677685459974
397,-45.93153051614286,-41.448461917746954,-12.053585584591321
398,-34.4222700042084,-32.64987327612743,-29.94639477019602
399,-25.355188603980693,-15.916932665213967,-15.979093894432477
400,-46.794847826113255,-46.2775168811487,-45.389663251896835
401,-25.47355768229465,-16.253323037636203,-15.657585067723724
402,-35.73015814935069,-36.07958018124046,-36.10093546273881
403,-37.015646611394715,-35.811778052007355,-33.99230126252351
404,-26.009918664581676,-17.387345157584615,-14.79213117250569
405,-46.46468081784488,-45.94895805356125,-45.06816610093249
406,-39.852975462187345,-40.067855891298116,-39.978734539390295
407,-34.22348854090002,-32.60189709682749,-30.151865962675608
408,-39.14146782133364,-37.31190856381639,-34.43416179872016
409,-32.776016629267126,-30.344996205392807,-26.403141868559832
410,-27.330373482251794,-12.78897223790761,-23.375650764581458
411,-43.93241336080266,-44.08700544093154,-43.98950394621559
412,-39.49247174281121,-39.40782847000829,-39.00636020088675
413,-43.06159784133818,-42.96241356108802,-42.58042674869897
414,-39.417382497581855,-39.956443367282915,-40.1698049691736
415,-44.545290103349984,-43.84010073824094,-42.68968569065293
416,-38.36536280460996,-37.15545867208169,-35.31867213096782
417,-12.28691274430547,-30.874800928727527,-36.06718879006408
418,-40.03031931645367,-39.81487743548121,-39.27256323010312
419,-38.50800963150549,-37.2983424167624,-35.460817044524056
420,-49.98075417242081,-49.976260156786616,-49.967226409016554
421,-38.306051386250616,-37.910711230036014,-37.15332463595914
422,-34.04913104515339,-32.411679594082734,-29.936707285639454
423,-43.53371402674156,-42.35915648042847,-40.483534885746685
424,-44.517007688082074,-44.16629022987307,-43.50604092496915
425,-32.62360354755642,-34.24357403442201,-35.31199163695372
426,-36.253450174917454,-35.6174528149868,-34.565730742375614
427,-35.92955771991867,-34.74424855113903,-32.95650237034299
428,-22.373266624646263,-12.965092631106716,-26.78066122641477
429,-40.762349727322686,-39.578427400261795,-37.75570212341868
430,-34.466893941179315,-36.66911422553039,-38.116915114810695
431,-20.716644808972504,-28.259972438476662,-31.988041686360376
432,-48.12764137840557,-47.590917721463946,-46.59177458689228
