,X,Y,Z
266,-32.439967081347056,-27.644879099444537,-11.655616455344468
267,-41.125136447923005,-40.241116613225486,-38.69475444976329
268,-36.74401149159537,-31.84431703642703,-25.01739015924713
269,-36.81256063469571,-36.996156561653045,-35.741989107359785
270,-37.21910426728439,-36.317564147663376,-34.684210744076545
271,-37.765637445495706,-36.625257357113064,-34.87478134792908
272,-35.27486082165198,-31.519886313206626,-24.261426231887967
273,-39.42105679603195,-42.24032028243074,-32.57986771486194
274,-33.96009412857268,-31.310395969384647,-25.516816992070787
275,-38.46749514252586,-24.299217258684433,-32.62567256418607
276,-33.49514683083556,-31.201244476889627,-38.99422618253397
277,-33.32227111558189,-26.923501125345997,-32.80762232785854
278,-38.78958818524488,-37.176972523505384,-34.60441991540864
279,-32.875320124209864,-32.4635201207504,-31.046886452591238
280,-24.227902319115977,-31.350493517630994,-30.123385261726344
281,-28.83377569981057,-37.99489786157362,-38.88755977249746
282,-33.365107324055124,-34.47024928617446,-35.131256011876474
283,-31.987283035095864,-30.286678075354054,-26.21627419851894
284,-25.076258425351178,-29.07532451748121,-31.11021281172215
285,-36.8696931050148,-31.207372063441202,-34.800360910491676
286,-43.12518179493856,-34.651998668435674,-28.321217976666027
287,-47.81579598253548,-46.98000126086096,-26.893626009670832
288,-35.49137455144445,-34.54532898228017,-32.953230818798176
289,-37.94438901899291,-36.186895501144456,-33.39883504690607
290,-38.95062722022534,-36.167141679433385,-25.355099297527012
291,-24.279809392630224,-13.348575928317992,-26.308748013520532
292,-25.36069561971201,-29.050961949095782,-29.800860635394322
293,-32.53933654501737,-43.34011162834108,-31.565091323826508
294,-34.54080368554316,-33.56011301830365,-31.894190773973506
295,-24.050463916626725,-28.394521968681666,-31.06793798930748
296,-32.23940023323678,-29.718457422077616,-25.369514583741687
297,-34.68121720226182,-33.86114043978081,-32.56116499266886
298,-31.487428006594442,-29.055489527035423,-24.46561578574322
299,-32.29621589378651,-26.29130147475528,-39.62424395416762
300,-35.009343761684846,-25.028773083568684,-34.436414390931645
301,-12.268983418338692,-46.82194392015076,-47.555165256501525
302,-28.7110959416784,-12.000285402311679,-35.125266408917874
303,-35.80860260572883,-30.34998671545601,-29.70299706793409
304,-25.0813135097885,-36.66475239667005,-37.97677530756525
305,-14.051126626537249,-18.830388514900488,-27.568038633755513
306,-24.028940036524627,-38.700039520494705,-40.21907915445297
307,-34.30293680101907,-31.55257279441837,-27.097935872211792
308,-43.84993000783182,-41.32256859059166,-37.479687363307775
309,-33.475089434138866,-31.128135437599788,-27.357759090954637
310,-24.172406262749337,-14.76782721142801,-17.093795036227426
311,-29.832436004320986,-25.40875026915218,-13.187047321850196
312,-12.913637686821616,-27.345310275047222,-31.29672346653257
313,-25.11234590479866,-12.91895043190117,-26.99949296943895
314,-37.240563808313176,-37.903713923144025,-38.20002412411593
315,-35.25328924685914,-36.59169780972508,-36.284581901236365
316,-27.508069076285384,-46.51394317480637,-41.405570550348884
317,-38.538537938228444,-36.919187566786356,-34.582347500923596
318,-44.653999909305966,-46.03806785030919,-45.416237707080256
319,-32.96583552541438,-34.05717857509159,-33.75739082062668
320,-24.228476417790567,-41.26280922272006,-43.08369843150829
321,-45.303864919142356,-44.44655124740357,-43.03161898969992
322,-16.603709964186983,-26.05585092396755,-29.692027314033602
323,-31.59143984593667,-24.98396037927264,-29.13660127543971
324,-34.59697154439806,-33.35981720441438,-32.217992587692166
325,-27.152930780826306,-21.217979602620613,-23.864433709298126
326,-49.45654401238428,-32.6354795809826,-31.21426973042817
327,-31.261562781134806,-40.79814883037191,-42.3181609135775
328,-46.47961755830268,-46.38372917680695,-45.56674829767385
329,-31.225664332686428,-32.84277890155681,-23.8802843197414
330,-30.951460641403244,-38.547380621904445,-39.89555325467052
331,-48.10741739301324,-34.507437899609236,-29.627133871696657
332,-33.248005808177105,-32.40723539848009,-24.02963450331569
333,-31.857519136188955,-38.9027017803956,-38.58630525656244
334,-28.846003082006455,-31.016555065034,-32.425744372437535
335,-39.43459835156105,-37.3411478392596,-32.722569220825704
336,-23.68510614824599,-33.65697777358311,-30.93788306647712
337,-21.448983025369664,-39.79612017856132,-42.21355822594635
338,-34.275143097062696,-29.67904552754483,-21.577667086226935
339,-37.166382376114505,-26.500271103911484,-35.849031462859855
340,-38.856921386538275,-37.80231038046941,-35.632562708284965
341,-47.547791769183206,-33.52035145058188,-28.932904891494932
342,-43.64058085884248,-43.27108373690489,-42.04647198960728
343,-40.071598284733426,-41.65510694393531,-42.233713152898346
344,-33.44183518214001,-34.898718543736315,-34.864045807147356
345,-36.637095225754884,-38.128346425739494,-36.8756278213477
346,-37.020952913989696,-36.52443678583641,-35.497078453007084
347,-37.77951351365545,-27.41114232316722,-27.111568726984594
348,-32.34729238398353,-32.71136588082216,-32.02668124305501
349,-13.19044258185787,-23.511404932302803,-31.95826361198149
350,-37.809692063866486,-43.377420350892706,-36.49835025301114
351,-31.103306507369183,-38.43168487661248,-42.60930263711625
352,-25.401086372099222,-15.978577306847221,-16.779560891437328
353,-26.59495758994575,-12.82062346598785,-23.823059298020098
354,-38.26929417952749,-35.62171917937591,-32.50077440419748
355,-29.50365777939546,-25.211071238383823,-13.894096441725608
356,-27.57649108050163,-35.66434132312439,-34.5903779967493
357,-24.716631653035492,-33.3452694198162,-35.35946253459619
358,-33.94881608176859,-33.3160234977366,-32.23494193289922
359,-42.73172294630175,-29.637977693474387,-20.586866820972777
360,-41.241432539979066,-40.68598966443577,-39.62744720534092
361,-25.343973339835294,-30.07616999320762,-35.32885367993211
362,-36.14172089626021,-35.53402402753917,-34.47040684574046
363,-38.355883585998804,-38.5791824634482,-38.286595611222715
364,-31.225683749343386,-35.93640343028002,-32.30939517481503
365,-25.32093354712412,-34.55924024168637,-32.32327755693144
366,-34.151863165216355,-31.579449480902582,-26.998124950268316
367,-31.330992030893633,-29.949896636338458,-27.486591650441046
368,-15.999855334299031,-26.556914126134163,-34.48195683712028
369,-42.90565224788058,-39.785857343430294,-33.44555580830474
370,-37.74148471757275,-23.086303585978353,-34.94348896153947
371,-30.41837353234383,-30.960964738900003,-34.64725746993683
372,-37.415117918764274,-36.195259473393676,-34.34673456971845
373,-34.3379276780075,-32.84162120559156,-28.913481934146333
374,-35.94217562701565,-42.765804866116994,-44.89704934240524
375,-47.382282770833555,-42.86329282513111,-12.503086980027412
376,-36.75893871511526,-37.122605891975994,-36.98295522383081
377,-39.6501348170868,-38.52281712649354,-36.746937823010946
378,-28.591404010709756,-39.36474115587615,-41.29587526735392
379,-35.21798042427336,-27.122530063882508,-34.226229578742895
380,-37.535003212982495,-37.29594583815468,-26.931430564495283
381,-37.977833827631684,-37.299454595963184,-36.16784653364991
382,-40.7095151828608,-40.824989188238526,-39.133308718773975
383,-32.337895702710654,-33.09628543303164,-33.42722163149101
384,-41.619386301475565,-39.493946507229836,-29.450941376862602
385,-16.51381519058014,-24.176274064299538,-29.669568335022575
386,-32.54980585602554,-24.27865183846761,-28.442307060080246
387,-35.392683109787406,-25.93849396055644,-31.580683808074276
388,-34.75106223146748,-26.87584710735149,-34.66670259112101
389,-31.10366392288059,-31.25905698607221,-26.688199508181146
390,-32.4496108325821,-41.239830290487276,-34.92772313244684
391,-34.74245109976479,-33.44918831037987,-31.544714857416235
392,-34.85493619845705,-33.65341889092346,-31.840494341691375
393,-32.3904450658877,-23.64040171792423,-23.985877159203277
394,-32.546378917418224,-29.77717798523125,-28.49431117566024
395,-38.740324464055895,-38.18945921718657,-36.51915591474376
396,-32.322877518339666,-26.325261228249563,-26.04243604952393
397,-34.76943223281189,-34.41521327166212,-33.01484142017379
398,-42.800207937373564,-31.903463588557557,-34.763351575768965
