,x_14,y_14,x_15,y_15,x_16,y_16
134,-2.3202300844256367,-32.16751565912019,-2.3202300844256367,-30.38947957529283,-2.3202300844256367,-27.60814843112324
135,-2.3198940514108966,-31.330992030893633,-2.3198940514108966,-29.949896636338458,-2.3198940514108966,-27.486591650441046
136,-2.319098384243132,-32.3904450658877,-2.319098384243132,-23.64040171792423,-2.319098384243132,-23.985877159203277
137,-2.318828942292298,-34.05757507894017,-2.318828942292298,-27.65419532704534,-2.318828942292298,-30.04827560621155
138,-2.3180748750925613,-31.774991884145756,-2.3180748750925613,-29.685281334872005,-2.3180748750925613,-25.359004805152114
139,-2.3155246914017376,-34.30293680101907,-2.3155246914017376,-31.55257279441837,-2.3155246914017376,-27.097935872211792
140,-2.3144432760423927,-23.9411564047597,-2.3144432760423927,-31.04446776704222,-2.3144432760423927,-29.165392903620692
141,-2.3139800883598003,-32.89530103421461,-2.3139800883598003,-31.48120509087446,-2.3139800883598003,-24.856380275160213
142,-2.3139664279635888,-33.07913282079491,-2.3139664279635888,-22.72936128858744,-2.3139664279635888,-27.95470229046056
143,-2.313942875382168,-27.253301318558655,-2.313942875382168,-31.383968110280144,-2.313942875382168,-29.748319277882498
144,-2.311417392451383,-32.25352063611069,-2.311417392451383,-30.313075415507917,-2.311417392451383,-26.572850297274503
145,-2.3107781217407766,-33.94954251478162,-2.3107781217407766,-32.36159892574703,-2.3107781217407766,-29.848150537398986
146,-2.30506730657884,-23.68510614824599,-2.30506730657884,-33.65697777358311,-2.30506730657884,-30.93788306647712
147,-2.304080201002438,-25.36069561971201,-2.304080201002438,-29.050961949095782,-2.304080201002438,-29.800860635394322
148,-2.303317820768742,-36.32159056198002,-2.303317820768742,-34.280163485093084,-2.303317820768742,-31.355466261478817
149,-2.3026985962597206,-26.224551042736035,-2.3026985962597206,-31.136874224548663,-2.3026985962597206,-30.054906150562367
150,-2.297935501401981,-30.54877132158799,-2.297935501401981,-32.76571368970389,-2.297935501401981,-32.16403539885054
151,-2.292803212178134,-38.234922106183106,-2.292803212178134,-23.35956254382125,-2.292803212178134,-29.97804517076643
152,-2.292253263179039,-37.94438901899291,-2.292253263179039,-36.186895501144456,-2.292253263179039,-33.39883504690607
153,-2.2911988913257857,-35.54996668124155,-2.2911988913257857,-33.715712570218024,-2.2911988913257857,-24.909505329004208
154,-2.289960105941973,-37.13598916571392,-2.289960105941973,-35.622311851005605,-2.289960105941973,-33.08585562444626
155,-2.2893540019596084,-35.19860358992838,-2.2893540019596084,-33.893259087902294,-2.2893540019596084,-31.310558098246677
156,-2.2891119689918127,-35.99826209011415,-2.2891119689918127,-34.30485664192057,-2.2891119689918127,-31.653892932767764
157,-2.2883798375800124,-36.795273174463844,-2.2883798375800124,-34.698869886348035,-2.2883798375800124,-31.650778937186324
158,-2.287801778885314,-28.55309980585831,-2.287801778885314,-35.297660660181435,-2.287801778885314,-35.74201831881324
159,-2.2831514770419927,-38.856921386538275,-2.2831514770419927,-37.80231038046941,-2.2831514770419927,-35.632562708284965
160,-2.282809290251178,-36.50706717830773,-2.282809290251178,-35.0925263267023,-2.282809290251178,-32.15974565144842
161,-2.2819437915332275,-38.002841506563,-2.2819437915332275,-36.19153368509564,-2.2819437915332275,-31.49924809006143
162,-2.2811932169617153,-30.41837353234383,-2.2811932169617153,-30.960964738900003,-2.2811932169617153,-34.64725746993683
163,-2.2809620558378834,-36.72987931405313,-2.2809620558378834,-31.388825180958094,-2.2809620558378834,-37.35946759034604
164,-2.2797859471734467,-32.908299368629685,-2.2797859471734467,-39.57473701443324,-2.2797859471734467,-38.86103182639826
165,-2.278815694701025,-38.78958818524488,-2.278815694701025,-37.176972523505384,-2.278815694701025,-34.60441991540864
166,-2.2783382752436006,-26.087656305342335,-2.2783382752436006,-27.1145698427117,-2.2783382752436006,-33.63529065941593
167,-2.2779709382671482,-39.42017125229805,-2.2779709382671482,-37.42707567288895,-2.2779709382671482,-34.00824692479281
168,-2.2771830666910495,-36.83339100934697,-2.2771830666910495,-36.031666455591896,-2.2771830666910495,-29.42075801205785
169,-2.2759374640635532,-43.39495242895591,-2.2759374640635532,-41.825316932964604,-2.2759374640635532,-28.161178614078565
170,-2.2755313743813517,-41.50903559775819,-2.2755313743813517,-40.75369798995013,-2.2755313743813517,-38.98241398131598
171,-2.275426492111323,-41.35428305553664,-2.275426492111323,-39.55951192843159,-2.275426492111323,-36.31746622338499
172,-2.2734537603498177,-27.508069076285384,-2.2734537603498177,-46.51394317480637,-2.2734537603498177,-41.405570550348884
173,-2.2734467027527474,-31.261562781134806,-2.2734467027527474,-40.79814883037191,-2.2734467027527474,-42.3181609135775
174,-2.2712993045444176,-44.46899594864617,-2.2712993045444176,-38.80588160073345,-2.2712993045444176,-48.34165863856609
175,-2.2710079862389794,-48.10741739301324,-2.2710079862389794,-34.507437899609236,-2.2710079862389794,-29.627133871696657
176,-2.269343904722123,-39.489994033919,-2.269343904722123,-43.95489275394117,-2.269343904722123,-44.005955240328234
177,-2.2665636359803534,-43.14921004556893,-2.2665636359803534,-41.25501441114586,-2.2665636359803534,-37.95120475173154
178,-2.2626825347058817,-44.594966345719946,-2.2626825347058817,-43.29642146080929,-2.2626825347058817,-40.0854855316431
179,-2.2624572082123855,-41.39221162643851,-2.2624572082123855,-40.14748964098164,-2.2624572082123855,-38.003254037492404
180,-2.2590813734342907,-21.816333616869752,-2.2590813734342907,-34.633302623365545,-2.2590813734342907,-38.95588372129344
