,x_14,y_14,x_15,y_15,x_16,y_16
20,-2.4126564483746864,-41.22772906910811,-2.4126564483746864,-40.05480102356838,-2.4126564483746864,-38.24190257606607
21,-2.412578845820445,-41.25734838351954,-2.412578845820445,-40.085195089696384,-2.412578845820445,-38.2730117192735
22,-2.4123709870617476,-41.33727079487687,-2.4123709870617476,-40.16725437907326,-2.4123709870617476,-38.357056051352814
23,-2.412209104274913,-41.40011269068157,-2.412209104274913,-40.23182447691421,-2.412209104274913,-38.423244534130696
24,-2.4120325261907487,-41.469262241121285,-2.4120325261907487,-40.302925180160074,-2.4120325261907487,-38.49618548825853
25,-2.411789775638726,-41.565364535862784,-2.411789775638726,-40.40182649040591,-2.411789775638726,-38.59774937836581
26,-2.411328545690107,-41.75133290011502,-2.411328545690107,-40.59350637770009,-2.411328545690107,-38.79493740370776
27,-2.411155443152605,-41.82228827155326,-2.411155443152605,-40.66674590886361,-2.411155443152605,-38.8704053873972
28,-2.409821449724146,-42.391162171072516,-2.409821449724146,-41.256149082722644,-2.409821449724146,-39.480373035270794
29,-2.4094021159609564,-42.57834805875053,-2.4094021159609564,-41.45100304297937,-2.4094021159609564,-39.683114433148404
30,-2.4073461721734652,-43.557823657472596,-2.4073461721734652,-42.47898189756265,-2.4073461721734652,-40.76288286454747
31,-2.4072908788689507,-43.58563383466257,-2.4072908788689507,-42.508394161068935,-2.4072908788689507,-40.79405303604329
32,-2.4071389736114597,-43.662441990131356,-2.4071389736114597,-42.589697212870654,-2.4071389736114597,-40.88030243862045
33,-2.4070354525882642,-43.71512777872433,-2.4070354525882642,-42.645526536275696,-2.4070354525882642,-40.93960333639618
34,-2.4065805546039476,-43.949948230933124,-2.4065805546039476,-42.89497232096822,-2.4065805546039476,-41.20532944335581
35,-2.406572461122738,-43.954175058855334,-2.406572461122738,-42.89947182716624,-2.406572461122738,-41.21013444651915
36,-2.406248727346683,-44.12465322272091,-2.406248727346683,-43.081234840111534,-2.406248727346683,-41.40460149576945
37,-2.4061879061688116,-44.15698852034147,-2.4061879061688116,-43.115774882649646,-2.4061879061688116,-41.44163724597868
38,-2.40594571320208,-44.28671293447563,-2.40594571320208,-43.254556296487635,-2.40594571320208,-41.59071681338674
39,-2.4045177963672417,-45.08259492778964,-2.4045177963672417,-44.114066684378,-2.4045177963672417,-42.52454468560674
40,-2.404214569840998,-45.258272328305324,-2.404214569840998,-44.30584301740882,-2.404214569840998,-42.73564648521998
41,-2.4039357148511553,-45.42179312231678,-2.4039357148511553,-44.485085303883636,-2.4039357148511553,-42.93395839070236
42,-2.4036358718071273,-45.59964650193726,-2.4036358718071273,-44.680882778854865,-2.4036358718071273,-43.151757583407345
43,-2.403096513821445,-45.9245367358034,-2.403096513821445,-45.04096695105694,-2.403096513821445,-43.55572045163947
44,-2.4016483814380196,-46.8221477240758,-2.4016483814380196,-46.05434862896025,-2.4016483814380196,-44.72025985667347
45,-2.401166706597821,-47.12564181121558,-2.401166706597821,-46.40411919320283,-2.401166706597821,-45.133444668913754
46,-2.3995706642285035,-48.1215126963198,-2.3995706642285035,-47.5834875178196,-2.3995706642285035,-46.58232359791248
47,-2.3995605829227493,-48.12764137840557,-2.3995605829227493,-47.590917721463946,-2.3995605829227493,-46.59177458689228
48,-2.3995359706036945,-48.14258959816144,-2.3995359706036945,-47.60905027594086,-2.3995359706036945,-46.61485806946632
49,-2.398980498372195,-48.47364837787815,-2.398980498372195,-48.01435894722971,-2.398980498372195,-47.13842092846263
50,-2.3979217376560977,-49.05574560147855,-2.3979217376560977,-48.74630065993513,-2.3979217376560977,-48.12665858684348
51,-2.3979060240814642,-49.06373365350631,-2.3979060240814642,-48.75653579495257,-2.3979060240814642,-48.14093046387548
52,-2.3974898013641726,-49.266593410202155,-2.3974898013641726,-49.01836982430191,-2.3974898013641726,-48.510903115841266
53,-2.3965575360372213,-49.647817259266446,-2.3965575360372213,-49.52117496942157,-2.3965575360372213,-49.2509311222628
54,-2.394376378486491,-49.99485797013228,-2.394376378486491,-49.99289010349364,-2.394376378486491,-49.988484278376795
